_id,comment_id,create_time,ip_location,aweme_id,content,user_id,sec_uid,short_user_id,user_signature,nickname,avatar,sub_comment_count,last_modify_ts,parent_comment_id,user_unique_id
667fc2dc0d842c8b4e440e30,7381725052011627520,1718691799,陕西,7323541452120706048,陕西天利成铝模，入职7天之内离职没有工资，一个月以为按照120一天算，天天开会，喜马拉雅坑🕳️,95899021686,MS4wLjABAAAAl3M-2ovAHdi_Sx6FCIFOS5z471xXjRfE4apKSDp6eR0,919829876,,醉卧沙场君莫笑,https://p3-pc.douyinpic.com/aweme/720x720/aweme-avatar/mosaic-legacy_c8060000e9a8bcd17a26.jpeg?from=2956013662,0,1719647107884,0,
667fc2dc0d842c8b4e440e31,7342139694824719360,1709475116,陕西,7323541452120706048,我们公司，工资人均8000+入职就有五险一金，但是因为是客服，要求大专以上学历，满编总差一些[捂脸],82335140041,MS4wLjABAAAA6rgat0ICqs5AsyoLfWwdVQbgHGyw9VXCHkSYYK5xypY,187662198,让花成花让树成树,小小肉包,https://p3-pc.douyinpic.com/aweme/720x720/aweme-avatar/tos-cn-avt-0015_22e04824434f4b31d75cc05fef7c1172.jpeg?from=2956013662,19,1719647107885,0,
667fc2dc0d842c8b4e440e32,7384668787117376512,1719377190,陕西,7323541452120706048,有没有在西安找工作的，找个搭子[流泪],63678059946,MS4wLjABAAAAT4fYtcu5h6bx6EXqb8Tu4LGfMIY5-QPj2OTzjUebe4Y,43008901,,烟花易冷,https://p3-pc.douyinpic.com/aweme/720x720/aweme-avatar/tos-cn-i-0813_baa44e14c0a443f3bf96d1043a2126e7.jpeg?from=2956013662,1,1719647107894,0,
667fc2dc0d842c8b4e440e33,7329035489179403264,1706424055,陕西,7323541452120706048,去过一个写字楼兼职，让我去了交押金然后等安排工作交一百，然后我没有一百问我要50我说我50也没有，他问我有多钱，我说有17块钱，他说那你都给我我给你通融一下[尬笑],61451629752,MS4wLjABAAAA-8iKwK2F97sN6nYwVV_qpWmRJm7uyhg7gDH_tEHugok,893482571,否极泰来,取不到的曲,https://p3-pc.douyinpic.com/aweme/720x720/aweme-avatar/tos-cn-avt-0015_22852eb6451121c16c8cb8e4743e988e.jpeg?from=2956013662,9,1719647107894,0,90101Sss
667fc2dc0d842c8b4e440e34,7323827774891131904,1705211539,陕西,7323541452120706048,有人知道天童美语么[还得是我],932827255804432,MS4wLjABAAAA7vuYPAg1s-9kghalkZ1WFjEuz-N1vvqmmgdf1LeV29Q,65040805951,,逾期不候,https://p3-pc.douyinpic.com/aweme/720x720/aweme-avatar/tos-cn-i-0813_736c31274b8848408af259e5be53ce41.jpeg?from=2956013662,49,1719647107896,0,65040805951
667fc2dc0d842c8b4e440e35,7327842353737335808,1706146259,陕西,7323541452120706048,毕业学生打工建议还是往南方城市走，西安这地方只适合家里有人能在国企安排的或是体制内[捂脸],1095541351788643,MS4wLjABAAAAumCC0oyK0Wxx1H2fxqhUPySVF6VGCrzeS8Jt_c_LXUuvKMZMbuhU2Dk8zt_k_v44,37737898105,,拉裤兜里了,https://p3-pc.douyinpic.com/aweme/720x720/aweme-avatar/tos-cn-avt-0015_2271f37c178bb9bfc9525165f70fcedc.jpeg?from=2956013662,22,1719647107896,0,37737898105
667fc2dc0d842c8b4e440e36,7336794324443759616,1708230549,甘肃,7323541452120706048,西安还能不能找到工作[泪奔],1261830486104589,MS4wLjABAAAA5TQh5tZRrPtFJrIbI84KUorGtuAq7duXEEZEuZIR0S616z8zDqatpTUehtnqr_DH,2349063929,被爱的前提就是漂亮⚡️\n真诚没有用🙌\n真诚是杀死自己的必杀技💇,小张爱睡觉🎓,https://p3-pc.douyinpic.com/aweme/720x720/aweme-avatar/tos-cn-i-0813c001_ogCAdtznfAAsUjjDAe3PACwABIwEICAtgyc13h.jpeg?from=2956013662,14,1719647107897,0,ZL092598
667fc2dc0d842c8b4e440e37,7327300368710779904,1706020066,陕西,7323541452120706048,你没说市图书馆[尬笑],4177800394976942,MS4wLjABAAAApYigV7VGZh2L00lNs7_YLfB4bgIKgi8rC1F5cG4aHITTelZ_UCB6oEgcsvYHSZUH,3744572418,相遇且喜，离别勿悲。,Fur  seal,https://p3-pc.douyinpic.com/aweme/720x720/aweme-avatar/tos-cn-avt-0015_bcb0a755d787659e601c193e28f7c6ac.jpeg?from=2956013662,48,1719647107898,0,jpldxh
667fc2dc0d842c8b4e440e38,7330053108603044864,1706660989,陕西,7323541452120706048,我招个弹幕主播都招不到[流泪]我们正儿八经的公司[捂脸],2449342374347421,MS4wLjABAAAAo0TzsNMsLeNKxhiSlzIiFfyRWAznAQ6U7tBytoBBbkh9JWw1Hl1fTp_oCe8sqiwk,2218301632,失败,无趣😑,https://p3-pc.douyinpic.com/aweme/720x720/aweme-avatar/tos-cn-avt-0015_4d4ea364859b957469e21b95ed058d10.jpeg?from=2956013662,42,1719647107898,0,
667fc2dc0d842c8b4e440e39,7367326796784092160,1715339443,陕西,7367326465169394688,兄弟们，还有补充的可以打到下方👇,58833441933,MS4wLjABAAAASTOz6n9SAIIVCjBSMpf394A4luEqUaYwalxClRgID2Q,6886178,分享西安真实收入现状！\n直播数据仅供参考，切勿焦虑！\n各种西安专属粉丝群👉@｜昱梦\n各地域性矩阵号‘薪情实录’全网首创，有想法的创业者请私信,西安薪情实录,https://p3-pc.douyinpic.com/aweme/720x720/aweme-avatar/tos-cn-avt-0015_345d1c2afbcc0da3177fba2f78616ef7.jpeg?from=2956013662,43,1719647107946,0,78833441933
